2018-01-03,534,228
2018-01-04,544,231
2018-01-05,567,249
2018-01-06,578,263
2018-01-07,422,176
2018-01-08,531,209
2018-01-09,543,222
2018-01-10,555,245
2018-01-11,563,249
2018-01-12,580,278
2018-01-13,590,304
2018-01-14,428,195
2018-01-15,523,217
2018-01-16,525,224
2018-01-17,550,240
2018-01-18,559,244
2018-01-19,594,275
2018-01-20,601,300
2018-01-21,414,186
2018-01-22,553,235
2018-01-23,562,251
2018-01-24,541,246
2018-01-25,580,279
2018-01-26,624,317
2018-01-27,635,346
2018-01-28,459,228
2018-01-29,557,237
2018-01-30,564,251
2018-01-31,571,265
2018-02-01,579,278
2018-02-02,600,307
2018-02-03,615,335
2018-02-04,460,238
2018-02-05,558,248
2018-02-06,567,253
2018-02-07,581,267
2018-02-08,591,278
2018-02-09,616,306
2018-02-10,621,328
2018-02-11,468,236
2018-02-12,592,277
2018-02-13,588,276
2018-02-14,593,289
2018-02-15,612,304
2018-02-16,641,336
2018-02-17,645,354
2018-02-18,470,248
2018-02-19,553,256
2018-02-20,568,269
2018-02-21,580,281
2018-02-22,588,292
2018-02-23,614,312
2018-02-24,636,350
2018-02-25,467,238
2018-02-26,555,241
2018-02-27,560,242
2018-02-28,533,241
2018-03-01,497,223
2018-03-02,523,248
2018-03-03,581,310
2018-03-04,459,237
2018-03-05,570,263
2018-03-06,584,275
2018-03-07,594,293
2018-03-08,600,302
2018-03-09,622,317
2018-03-10,642,370
2018-03-11,459,243
2018-03-12,541,242
2018-03-13,566,267
2018-03-14,562,274
2018-03-15,565,280
2018-03-16,582,305
2018-03-17,569,315
2018-03-18,402,207
2018-03-19,523,241
2018-03-20,547,258
2018-03-21,556,286
2018-03-22,555,298
2018-03-23,587,328
2018-03-24,607,348
2018-03-25,435,237
2018-03-26,504,250
2018-03-27,456,240
2018-03-28,527,274
2018-03-29,559,311
2018-03-30,502,297
2018-03-31,555,329
2018-04-01,335,183
2018-04-02,421,233
2018-04-03,541,278
2018-04-04,528,277
2018-04-05,559,312
2018-04-06,564,327
2018-04-07,545,331
2018-04-08,396,221
2018-04-09,505,264
2018-04-10,511,274
2018-04-11,509,285
2018-04-12,525,295
2018-04-13,549,322
2018-04-14,555,349
2018-04-15,398,231
2018-04-16,506,266
2018-04-17,509,268
2018-04-18,514,293
2018-04-19,516,305
2018-04-20,533,332
2018-04-21,530,355
2018-04-22,388,245
2018-04-23,480,260
2018-04-24,486,257
2018-04-25,493,275
2018-04-26,513,292
2018-04-27,522,306
2018-04-28,554,363
2018-04-29,410,244
2018-04-30,491,256
2018-05-01,500,271
2018-05-02,466,258
2018-05-03,486,287
2018-05-04,504,323
2018-05-05,515,362
2018-05-06,397,271
2018-05-07,400,253
2018-05-08,442,254
2018-05-09,449,269
2018-05-10,455,278
2018-05-11,466,294
2018-05-12,471,311
2018-05-13,358,219
2018-05-14,437,246
2018-05-15,432,251
2018-05-16,424,252
2018-05-17,445,266
2018-05-18,460,289
2018-05-19,458,308
2018-05-20,344,216
2018-05-21,421,248
2018-05-22,430,257
2018-05-23,436,261
2018-05-24,443,277
2018-05-25,466,304
2018-05-26,479,322
2018-05-27,366,234
2018-05-28,375,228
2018-05-29,438,254
2018-05-30,456,281
2018-05-31,465,307
2018-06-01,473,321
2018-06-02,446,307
2018-06-03,329,211
2018-06-04,405,239
2018-06-05,422,261
2018-06-06,435,288
2018-06-07,434,301
2018-06-08,455,324
2018-06-09,456,327
2018-06-10,336,222
2018-06-11,420,255
2018-06-12,428,273
2018-06-13,442,288
2018-06-14,456,306
2018-06-15,477,334
2018-06-16,482,344
2018-06-17,344,229
2018-06-18,430,275
2018-06-19,431,287
2018-06-20,435,298
2018-06-21,455,322
2018-06-22,465,339
2018-06-23,460,341
2018-06-24,337,235
2018-06-25,429,281
2018-06-26,439,298
2018-06-27,452,317
2018-06-28,471,351
2018-06-29,505,376
2018-06-30,486,379
2018-07-01,370,260
2018-07-02,451,310
2018-07-03,474,342
2018-07-04,474,339
2018-07-05,485,357
2018-07-06,493,375
2018-07-07,481,392
2018-07-08,382,279
2018-07-09,465,320
2018-07-10,477,337
2018-07-11,473,356
2018-07-12,480,350
2018-07-13,482,363
2018-07-14,474,373
2018-07-15,350,259
2018-07-16,439,301
2018-07-17,458,323
2018-07-18,456,334
2018-07-19,462,348
2018-07-20,467,360
2018-07-21,465,365
2018-07-22,354,252
2018-07-23,432,296
2018-07-24,435,313
2018-07-25,432,320
2018-07-26,422,324
2018-07-27,428,337
2018-07-28,419,337
2018-07-29,301,223
2018-07-30,387,275
2018-07-31,393,295
2018-08-01,391,302
2018-08-02,395,311
2018-08-03,393,312
2018-08-04,386,319
2018-08-05,303,225
2018-08-06,370,265
2018-08-07,372,271
2018-08-08,381,288
2018-08-09,382,288
2018-08-10,386,301
2018-08-11,388,306
2018-08-12,295,213
2018-08-13,368,257
2018-08-14,375,274
2018-08-15,371,278
2018-08-16,370,286
2018-08-17,378,306
2018-08-18,363,291
2018-08-19,275,205
2018-08-20,345,247
2018-08-21,354,263
2018-08-22,348,264
2018-08-23,346,272
2018-08-24,352,281
2018-08-25,353,279
2018-08-26,259,182
